1,1,2
2,1,3
3,1,8
4,1,7
5,2,3
6,2,7
7,2,6
8,2,5
9,3,5
10,3,9
11,3,7
12,3,2
13,3,1
14,4,1
15,4,2
16,4,4
17,4,5
18,4,8
19,5,6
20,5,6
21,5,8
22,5,9
23,5,1
24,5,3
25,6,6
26,6,2
27,6,5
28,6,3
29,6,2
30,7,1
31,7,2
32,7,3
33,7,4
34,7,5
35,7,6
36,7,7
37,7,8
38,7,9
39,8,2
40,8,3
41,8,4
42,8,7
43,8,9
44,8,10
45,9,1
46,9,2
47,9,6
48,9,7
49,9,5
50,9,8
51,12,6
52,12,2
53,12,2
54,13,7
55,13,11
56,13,1
57,14,9
58,14,7
59,14,12
60,14,2
61,14,2
62,15,13
63,15,8
64,15,12
65,15,4
66,15,5
67,16,14
68,16,15
69,16,4
70,17,8
71,17,5
72,17,10
73,17,4
74,17,8
75,18,7
76,18,5
77,18,4
78,18,5
79,19,12
80,19,17
81,19,10
82,19,1
83,20,14
84,20,8
85,20,11
86,20,11
87,20,15
88,21,17
89,21,11
90,21,2
91,21,9
92,22,12
93,22,6
94,22,14
95,22,14
96,23,2
97,23,18
98,23,3
99,23,22
100,24,15
